,title,year,certificate,duration,genre,rating,description,votes
1745,The Life and Movies of Erşan Kuneri,(2022– ),TV-MA,45 min,Comedy,6.7,"The story of erotic film producer and director, Ersan Kuneri, in the 70s and 80s.","12,247"
1746,T-34,(2018),TV-14,139 min,"Action, War",6.7,"SS Panzer Division uses T-34 manned by Soviet POWs as a target in their training field, but the prisoners plot a daring maneuver.","12,522"
1747,Wormwood,(2017),,241 min,"Documentary, Biography, Drama",7.0,"In 1953, Army scientist Frank Olson takes a fatal plunge from a hotel window. In 1975, a bombshell report ties his death to a top-secret experiment.","4,319"
1748,The Mystery of Marilyn Monroe: The Unheard Tapes,(2022),TV-14,101 min,Documentary,6.2,Explores the mystery surrounding the death of movie icon Marilyn Monroe through previously unheard interviews with her inner circle.,"4,444"
1749,The Siege of Jadotville,(2016),TV-MA,108 min,"Action, Drama, History",7.2,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,"39,952"
1750,Oddballs,(II) (2022– ),TV-Y7,,"Animation, Comedy, Family",,It tells the story of James. His observations on life fuel his comedic rants at everyday inconveniences and elevates them to absurd heights.,
1751,World Without End,(2012),TV-MA,374 min,"Drama, History, Romance",6.9,The English town of Kingsbridge works to survive as the King leads the nation into the Hundred Years' War with France while Europe deals with the outbreak of the Black Death.,"8,747"
1752,Utap,,,,"Action, Adventure, Thriller",,A global spy adventure with a father and daughter at the center of the story.,
1753,Les rivières pourpres,(2018– ),,60 min,"Crime, Mystery, Thriller",6.8,"A bizarre series of murders, a stubborn investigator duo and a lot of bodies.","1,724"
1754,Night Owls,(I) (2015),R,90 min,"Comedy, Drama",6.2,"Workaholic Kevin goes home with the beautiful train-wreck Madeline for a drunken one night stand, but he's horrified to discover she's actually his boss' jilted ex-mistress.","2,443"
1755,Kengan Ashura,(2019– ),TV-MA,24 min,"Animation, Action, Sport",8.0,"A timid old man is summoned by his chairman to become the manager of Tokita Ohma, a highly skilled gladiator who only cares about fighting and winning in the Kengan matches.","5,027"
1756,Violet Evergarden: The Movie,(2020),,140 min,"Animation, Drama, Fantasy",8.3,"After the aftermath of a war, a young girl who was used as a 'tool' for war learned to live. With the scars of burns, she goes back to her past to feel the true feelings of the Major's, ""I love you.""","6,641"
1757,Afterlife of the Party,(2021),TV-PG,109 min,"Comedy, Drama, Fantasy",5.8,A social butterfly who dies during her birthday week is given a second chance to right her wrongs on Earth.,"9,071"
1758,Gymnastics Academy: A Second Chance!,(2022– ),TV-PG,25 min,"Drama, Family, Sport",8.2,"Kyra Berry, a 14 year old USA gymnast arrives in Australia to try and win a scholarship at an elite Gymnastics Academy. It's a second chance but also her last.",89
1759,Jaguar,(2021– ),TV-14,50 min,"Action, Drama, History",5.7,"In the 1960s, Spain became a home to hundreds of survivors of the Mauthausen camp. Isabel, a young Spanish woman, is one of them. She is looking for Skorzeny, Europe's most dangerous man, but she is not alone.","1,848"
1760,Step Sisters,(2018),PG-13,108 min,Comedy,5.4,"To get the college dean's backing for Harvard, Jamilah has to teach girls at a white sorority to step dance.","4,584"
1761,Another,(2012),TV-MA,300 min,"Animation, Drama, Horror",7.5,"A young man named, Koichi Sakakibara, transfers to a new school where he finds himself drawn into a mystery involving a mysterious girl and a series of gruesome deaths.","15,033"
1762,Heartsong,(2022),TV-14,95 min,"Comedy, Drama, Music",5.8,"While serenading a wedding that quickly implodes, o nomadic musician falls for the bride, who runs afoul of her family. Now he has to save her life.","1,257"
1763,The Discovery,(I) (2017),TV-MA,102 min,"Drama, Romance, Sci-Fi",6.2,"Two years after the afterlife is scientifically proven, a man attempts to help a young woman break away from her dark past.","34,544"
1764,Bonusfamiljen,(2017– ),,44 min,"Comedy, Drama",7.6,A drama series exploring the complexities of relationships in modern family life in Northern Europe.,"4,128"
1765,Out of Death,(2021),R,96 min,"Crime, Thriller",3.2,A corrupt Sheriff's department in a rural mountain town comes undone when an unintended witness throws a wrench into their shady operation.,"5,006"
1766,The World of the Married,(2020),,80 min,"Drama, Romance",8.0,A story about a married couple whose betrayal of one another leads to a whirlwind of revenge.,"2,658"
1767,Baki Hanma,(2021– ),TV-MA,25 min,"Animation, Action, Drama",6.7,"To gain the skills he needs to surpass his powerful father, Baki enters Arizona State Prison to take on the notorious inmate known as Mr. Unchained.","1,847"
1768,Le chant du loup,(2019),TV-14,115 min,"Action, Thriller",6.9,"In the near future, a French submarine finds itself in a crisis situation.","18,005"
1769,Ivy + Bean: Doomed to Dance,(2022),TV-G,53 min,"Comedy, Family",6.0,"Ivy and Bean are ecstatic to sign up for ballet class until they realize there will be no sword-fighting, kicking or ""dancing to the death"". When Bean's parents won't let her quit, Ivy agrees to stick it out with Bean.",98
1770,Henry Gamble's Birthday Party,(2015),Unrated,87 min,Drama,6.1,Preacher's kid Henry Gamble is turning 17 today. Bring your swimsuit.,"3,126"
1771,Weightlifting Fairy Kim Bok-Joo,(2016–2017),,60 min,"Comedy, Romance",8.4,"A coming-of-age story about a group of college athletes who are fighting for their dreams, experiencing and finding love in the process, and growing every step of the way.","9,099"
1772,Remarriage & Desires,(2022– ),TV-14,70 min,Drama,7.4,"Through an exclusive matchmaking agency, women strive to marry a desirable bachelor and into the highest echelon of society.","1,061"
1773,Dhamaka,(2021),TV-14,103 min,"Crime, Drama, Thriller",7.1,"Reassigned from TV to radio, a frustrated anchor sees both danger and opportunity when he receives threatening calls on the air.","40,747"
1774,The Misfit of Demon King Academy,(2020–2022),TV-14,23 min,"Animation, Adventure, Comedy",7.3,A demon mage reincarnates into the body of his descendant hoping to find an era where he can have some peace and quiet. He ends up going to a school run by his significantly weaker descendants.,"3,389"
1775,The ABCs of Death,(2012),Not Rated,129 min,"Comedy, Horror",4.7,A 26-chapter anthology that showcases death in all its vicious wonder and brutal beauty.,"19,374"
1776,Final Girl,(2015),R,84 min,"Horror, Thriller",4.7,A man teaches a young woman how to become a complete weapon. Later she is approached by a group of sadistic teens who kill blonde women for unknown reasons. The hunting season begins.,"15,916"
1777,Spirit Untamed,(2021),PG,88 min,"Animation, Adventure, Comedy",5.5,Lucky Prescott's life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,"3,715"
1778,Greenhouse Academy,(2017–2020),TV-PG,25 min,Drama,6.6,"Almost a year after their astronaut mother's tragic death, brother and sister Alex and Hayley Woods start to attend an elite boarding school for future leaders, but they soon realize that that everything is not as it seems.","6,245"
1779,Monarca,(2019–2021),TV-MA,43 min,Drama,7.8,"After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets.","3,323"
1780,Secret Obsession,(2019),TV-14,97 min,Thriller,4.4,"Recuperating from trauma, Jennifer remains in danger as she returns to a life she doesn't remember.","21,867"
1781,Just Between Lovers,(2017–2018),,70 min,"Drama, Romance",8.2,"A major accident takes the lives of 48 people. The lives of the survivors, those who lost loved ones and those connected to the parties blamed for the tragic event are also marked forever.","2,116"
1782,American Siege,(2021),R,91 min,"Action, Thriller",3.4,An ex-NYPD officer-turned-sheriff of a small rural Georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage.,"1,697"
1783,Paranormal,(2020),TV-14,45 min,"Drama, Fantasy, Horror",8.0,"Set in the 1960s, the series, packed with mystery and suspense, depicts the adventures of Doctor Refaat Ismail, a single hematologist who finds himself faced with a series of supernatural events.","72,160"
1784,Vicky and Her Mystery,(2021),TV-PG,84 min,"Adventure, Drama, Family",6.3,"Victoria, 8 year old girl whose mother just passed away, relocates with her father in a small mountain village. She finds solace in the adoption of a puppy of unknown origin found in an isolated farm.","2,033"
1785,Unsolved: The Murders of Tupac and the Notorious B.I.G.,(2018– ),TV-MA,60 min,"Biography, Crime, Drama",7.8,A scripted true crime series based on the murder investigations of Tupac Shakur and Biggie Smalls.,"7,994"
1786,The Perfect Mother,(2021),TV-MA,192 min,"Drama, Thriller",5.9,"Convinced of her daughter's innocence in a homicide, a devoted mother soon uncovers unsettling truths as the line between victim and perpetrator blurs.","1,041"
1787,Decoupled,(2021– ),,30 min,"Comedy, Drama",7.9,"Follows a writer and his wife who announce their divorce with a party, which ends up exposing other absurd relationships in their world.","7,566"
1788,Trigun,(1998),TV-14,24 min,"Animation, Action, Adventure",8.2,Vash the Stampede is the most infamous outlaw on the planet Gunsmoke and with a 60 billion double dollar price on his head the most sought after!,"21,805"
1789,Unfrosted,,,,Comedy,,"Michigan 1963, business rivals Kellogg's and Post compete to create a cake that could change breakfast forever.",
1790,The Devil Judge,(2021),TV-14,75 min,"Crime, Drama, Mystery",8.3,"During a time of chaos, a judge turns the court into something like a reality show and punishes evil people mercilessly.","2,687"
1791,Love Tactics,(2022),TV-MA,97 min,"Comedy, Romance",5.2,"An ad executive and a fashion designer-blogger don't believe in love, so they place a bet to make the other fall head over heels - with unusual tactics.","4,031"
1792,The Whole Truth,(2016),R,93 min,"Crime, Drama, Mystery",6.2,A defense attorney works to get his teenage client acquitted of murdering his wealthy father.,"29,336"
1793,John Dies at the End,(2012),R,99 min,"Comedy, Fantasy, Horror",6.3,"A new street drug that sends its users across time and dimensions has one drawback: some people return no longer human. Can two college drop-outs save humanity from this silent, otherworldly invasion?","38,551"
1794,Drive Hard: The Maloof Way,(2022– ),TV-14,32 min,Reality-TV,6.2,"The Maloofs, a lovable family of gearheads and stunt drivers, use their passion and skill to build car engines and perform wild feats behind the wheel.",149
1795,The Legend of Drunken Master,(1994),R,102 min,"Action, Comedy",7.5,A young martial artist is caught between respecting his pacifist father's wishes or stopping a group of disrespectful foreigners from stealing precious artifacts.,"46,202"
1796,A California Christmas: City Lights,(2021),PG-13,106 min,"Comedy, Drama, Romance",5.5,"Sequel to ""A California Christmas"". Follows Callie and Joseph one year after they fell in love, now running a dairy farm and winery, but their romance is threatened when business and family obligations call Joseph back to the city.","2,476"
1797,Fatal Affair,(2020),TV-14,89 min,Thriller,4.5,"Ellie tries to mend her marriage with her husband Marcus after a brief encounter with an old friend, David, only to find that David is more dangerous and unstable than she'd realized.","6,084"
1798,The Debt Collector,(2018),Not Rated,95 min,"Action, Comedy",5.8,"A classically-trained martial artist goes to work as a mob debt collector. The job seems easy enough, until a client drags him into a situation deeper than could ever be anticipated.","7,762"
1799,A Vigilante,(2018),R,91 min,"Crime, Drama, Mystery",5.7,"After escaping her violent husband, Sadie makes it her life's mission to help free others in danger. After months of rigorous training in survival skills, boxing, and lethal martial arts, she is back with a vengeance.","9,163"
1800,The Daily Life of the Immortal King,(2020– ),TV-14,18 min,"Animation, Action, Adventure",7.2,"Wang Ling is a near-invincible existence with powers far beyond his control. But now that he's sixteen, he faces his greatest battle yet - Senior High School.","1,436"
1801,The Water Man,(I) (2020),PG,91 min,"Adventure, Drama, Family",5.5,A boy sets out on a quest to save his ill mother by searching for a mythic figure said to have magical healing powers.,"3,978"
1802,Prayers for the Stolen,(2021),R,110 min,Drama,7.3,Life in a town at war seen through the eyes of three young girls on the path to adolescence.,"2,785"
1803,Mezarlik,(2022– ),,105 min,"Crime, Drama, Mystery",7.8,"""Graveyard"" is a dark basement, where a special unit works to solve unsolved murders of women. Commissioner Önem, will have to fight masculine prejudices that support male violence.","1,950"
1804,Great Teacher Onizuka,(1999–2000),TV-MA,24 min,"Animation, Comedy, Drama",8.5,"About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever.","9,298"
1805,The Billion Dollar Code,(2021),TV-MA,267 min,"Biography, Crime, Drama",8.0,"In 1990s Berlin, an artist and a hacker invented a new way to see the world. Years later, they reunite to sue Google for patent infringement on it.","8,579"
1806,Dasvi,(2022),,125 min,"Comedy, Drama",7.3,"Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school, while his scheming wife has plans of her own.","22,370"
1807,Zindagi inShort,(2020),,116 min,"Comedy, Drama, Romance",7.1,"An anthology of 7 heart-warming stories, Zindagi inShort glimpses into various moments of ordinary lives. The circumstances that we live in, we ignore our loved ones, we madly focus on our careers, we stop thinking about them.",694
1808,Time Trap,(2017),Not Rated,87 min,"Action, Adventure, Mystery",6.2,A professor enters a cave and goes missing. Some of his students come looking for him and get trapped in the cave as well.,"37,065"
1809,Explained,(2018– ),TV-MA,18 min,Documentary,8.0,A documentary series that looks to explore the big questions of today.,"9,221"
1810,Watership Down,(2018),TV-PG,204 min,"Animation, Action, Adventure",7.2,"Fleeing their doomed warren, a colony of rabbits struggle to find and defend a new home.","6,256"
1811,Rose Island,(2020),TV-14,117 min,"Adventure, Comedy, Drama",7.0,"An idealistic engineer builds his own island off the Italian coast and declares it a nation, drawing the world's attention. Values are tested when the Italian Government declares him an enemy, but to change the world risks must be taken.","21,001"
1812,Maya and the Three,(2021),TV-Y7,30 min,"Animation, Action, Adventure",8.1,A Mesoamerican warrior princess embarks on a quest to recruit three legendary fighters to help save the world of gods and humankind.,"3,940"
1813,Inside the World's Toughest Prisons,(2016–2022),TV-MA,47 min,Documentary,7.1,"Imagine being in jail. Now imagine living in a foreign country. Scary? Paul Connelly takes you inside these jails. He shows what living conditions are for the inmates, as well as the guards. You'll never look at prison the same.","2,965"
1814,Reptile,(2022),,,"Crime, Drama, Thriller",,"Nichols, a hardened New England detective unflinching in his pursuit of a case where nothing is as it seems, one that begins to dismantle the illusions in his own life.",
1815,Flight 7500,(2014),PG-13,80 min,"Drama, Horror, Sci-Fi",4.8,"Flight 7500 departs Los Angeles International Airport bound for Tokyo. As the overnight flight makes its way over the Pacific Ocean during its ten-hour course, the passengers encounter what appears to be a supernatural force in the cabin.","16,082"
1816,On Body and Soul,(2017),Not Rated,116 min,"Drama, Fantasy, Mystery",7.5,"When slaughterhouse workers Endre and Mária discover they share the same dreams, where they meet in a forest as deer and fall in love, they decide to make their dreams come true, but it's difficult in real life.","27,775"
1817,The Christmas Chronicles,(2018),PG,104 min,"Adventure, Comedy, Family",7.0,"The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.","72,157"
1818,To All the Boys: P.S. I Still Love You,(2020),TV-14,101 min,"Comedy, Drama, Romance",6.0,Lara Jean and Peter have just taken their relationship from pretend to officially official when another recipient of one of her old love letters enters the picture.,"38,979"
1819,Ludo,(2020),TV-MA,150 min,"Action, Comedy, Crime",7.6,"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.","39,347"
1820,Falling Into Your Smile,(2021– ),,,Romance,8.4,Romance between two professional gamers.,"2,383"
1821,El Recluso,(2018– ),,60 min,"Drama, Thriller",6.9,An American SPEC OPS infiltrates one of Mexico's toughest prisons in search of information on the whereabouts of an American politician's daughter.,"2,772"
1822,No Good Nick,(2019),TV-PG,30 min,"Comedy, Drama, Family",5.9,A family's lives are turned upside-down when a street-smart young grifter shows up on their doorstep claiming to be a distant relative.,"3,039"
1823,Collision,(2022),TV-MA,99 min,"Crime, Drama, Thriller",4.1,Freedom always comes at a price.,"1,023"
1824,Gone for Good,(2021),TV-MA,247 min,"Crime, Drama, Mystery",6.3,"Guillaume thought he had drawn a line under the terrible tragedy which saw the two people he loved the most die. Ten years later, Judith, whose love has made his life worth living again, suddenly disappears during his mother's funeral.","4,207"
1825,Selena: The Series,(2020–2021),TV-PG,40 min,"Biography, Drama, Music",6.9,"Late Tejano singer Selena as her dreams come true, and her family makes life-changing choices on the singer's journey to success.","4,569"
1826,Bullet Head,(2017),R,93 min,"Crime, Drama, Thriller",5.4,Three career criminals find themselves trapped in a warehouse with the law closing in and an even worse threat waiting inside - a nigh unstoppable killer dog.,"10,383"
1827,The Night Before,(II) (2015),R,101 min,"Comedy, Fantasy",6.3,"On Christmas Eve, three lifelong friends spend the night in New York City looking for the Holy Grail of Christmas parties.","74,545"
1828,The Summit of the Gods,(2021),PG,95 min,"Animation, Adventure, Drama",7.5,A photojournalist's obsessive quest for the truth about the first expedition to Mt. Everest leads him to search for an esteemed climber who went missing.,"6,107"
1829,Single Street,(2019),,90 min,"Comedy, Romance",6.1,"A hard-nosed, spouseless cardiac surgeon finds herself reconsidering her career-driven life choices as she bonds with her lighthearted new artist neighbor.",980
1830,El marginal,(2016–2022),TV-MA,60 min,"Crime, Drama, Mystery",8.2,"Pastor, an undercover cop sets on a mission to rescue the kidnapped daughter of a judge by infiltrating the prison where she's suspected to be at. Once inside he will have to learn to live by the prison's and the inmates' rules.","4,115"
1831,Feria: The Darkest Light,(2022),TV-MA,50 min,"Crime, Drama, Fantasy",5.6,Two sisters see their world turned upside down when they discover a horrifying and otherworldly secret involving their parents.,"2,356"
1832,Rumspringa,(II) (2022),TV-MA,101 min,Comedy,5.4,"A young Amish man travels to Berlin on a rite of passage to connect with his roots, explore other ways of life, fall in love — and face a big decision.",920
1833,The Great Hack,(2019),TV-MA,114 min,"Documentary, Biography, History",7.0,The Cambridge Analytica scandal is examined through the roles of several affected persons.,"23,656"
1834,My Babysitter's a Vampire,(2011–2012),TV-PG,22 min,"Action, Comedy, Family",6.9,"Ethan Morgan, his half-vampire babysitter and pals battle against creatures from their nightmares.","4,527"
1835,Lust Stories,(2018),,120 min,"Drama, Romance",6.4,"Four short films by four of India's biggest directors exploring love, sex and relationships in modern India.","11,004"
1836,Downfall: The Case Against Boeing,(2022),PG-13,89 min,Documentary,7.4,"Examining the months since the tragedies, which caused global panic in March 2019 after two new aircrafts crashed within five months, killing 346 people.","10,970"
1837,The Club,(2021–2022),TV-14,55 min,Drama,7.8,"In cosmopolitan 1950s Istanbul, a mother with a troubled past works at a nightclub to reconnect with and help the rebellious daughter she couldn't raise.","9,409"
1838,Hard Cell,(2022– ),TV-MA,25 min,Comedy,6.3,A documentary crew follows the inmates and staff of HMP Woldsley while Catherine Tate portrays multiple characters to capture the penal system at its brutal humorous best.,"1,675"
1839,Nailed It!,(2018– ),TV-PG,33 min,"Game-Show, Reality-TV",7.4,"Home bakers with a terrible track record take a crack at re- creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.","4,828"
1840,Man Like Mobeen,(2017– ),TV-MA,21 min,Comedy,8.0,"Mobeen is a 28 year old Brummie Muslim single handedly raising his 15 year old sister. This show documents the struggles of his criminal past, the friendships he has and the controversies he faces as a Pakistani Muslim.","2,849"
1841,Girl,(II) (2018),R,105 min,Drama,7.1,A promising teenage dancer enrolls at a prestigious ballet school while grappling with her gender dysphoria.,"14,561"
1842,The Bonfire of Destiny,(2019),TV-MA,48 min,"Drama, History",7.6,"After a devastating fire in 1897 Paris, three women find their lives upended by betrayal, deception and romantic turmoil. Inspired by real events.","4,742"
1843,Boy Swallows Universe,,,,Drama,,"Based on Trent Dalton's bestselling novel - a magical-realist tale of love, loss and redemption; of time-travel and prison-breaks, mums, dads and brothers, small time drug-deals and the trade in artificial limbs.",
1844,October Faction,(2020),TV-MA,39 min,"Adventure, Drama, Fantasy",6.1,A semi-retired couple who work for a clandestine monster hunting agency discover dark family secrets and the truth about their employer after their magically inclined nigh adult kids reawaken a witch bent on revenge.,"11,210"
1845,Close,(I) (2019),TV-MA,94 min,"Action, Drama, Thriller",5.7,A female bodyguard is hired to protect an heiress on the run from assassins.,"24,999"
1846,Flaked,(2016– ),TV-MA,30 min,"Comedy, Drama, Romance",7.2,"A recovering alcoholic faces reality after a life changing accident in Venice Beach, California.","11,580"
1847,Toradora!,(2008–2009),TV-14,24 min,"Animation, Comedy, Drama",8.0,"Ryuji Takasu lives in a falling down house with his mother, and although being a nice guy is cursed with the evil look of his father causing people to avoid him. Taiga Aisaka is a tiny,self...                See full summary »","15,338"
1848,Boy Meets Girl,(I) (2014),R,95 min,"Comedy, Drama, Romance",7.1,"Boy Meets Girl is a funny, tender, sex positive romantic comedy that explores what it means to be a real man or woman, and how important it is to live a courageous life not letting fear stand in the way of going after your dreams.","4,685"
1849,Yaksha: Ruthless Operations,(2022),TV-14,125 min,"Action, Crime, Thriller",6.2,"Nicknamed after a human-devouring spirit, the ruthless leader of an overseas black ops team takes up a dangerous mission in a city riddled with spies.","3,453"
1850,The Incredible Shrinking Man,(1957),Not Rated,81 min,"Horror, Sci-Fi",7.6,"When Scott Carey begins to shrink because of exposure to a combination of radiation and insecticide, medical science is powerless to help him.","18,215"
1851,The Christmas Chronicles: Part Two,(2020),PG,112 min,"Adventure, Comedy, Family",6.0,"Kate Pierce, now a cynical teen, is unexpectedly reunited with Santa Claus when a mysterious troublemaker threatens to cancel Christmas - forever.","29,764"
1852,Survivor,(I) (2015),PG-13,96 min,"Action, Crime, Thriller",5.6,"A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York City, but is forced to go on the run when she is framed for crimes she did not commit.","34,029"
1853,Catching Killers,(II) (2021– ),TV-MA,,"Documentary, Crime, Mystery",7.1,"The investigators behind infamous serial killer cases reveal the harrowing, chilling details of their extraordinary efforts in this true crime series.","3,614"
1854,A Prayer Before Dawn,(2017),R,116 min,"Action, Biography, Crime",6.8,The true story of an English boxer incarcerated in one of Thailand's most notorious prisons as he fights in Muay Thai tournaments to earn his freedom.,"23,669"
1855,Trust No One: The Hunt for the Crypto King,(2022),TV-MA,90 min,"Documentary, Crime",6.3,A group of investors turned sleuths as they try to unlock the suspicious death of cryptocurrency multimillionaire Gerry Cotten and the missing $250 million they believe he stole from them.,"4,831"
1856,The Courier,(2019),R,99 min,"Action, Crime, Drama",4.8,A courier in London discovers that one of the packages she's transporting is a bomb.,"11,368"
1857,Dirty Money,(2018– ),TV-14,60 min,"Documentary, Crime",8.1,"A Netflix Original Series documenting various stories about exposing the greed, corruption, and crime spreading through the global economy.","9,307"
1858,Love on the Spectrum U.S.,(2022– ),TV-14,40 min,"Documentary, Short, Comedy",8.2,It follows people on the autism spectrum as they navigate the world of dating and relationships.,"1,327"
1859,Noragami,(2014–2015),TV-14,24 min,"Animation, Action, Adventure",7.9,"A minor god seeking to gain widespread worship teams up with a human girl he saved to gain fame, recognition and at least one shrine dedicated to him.","15,639"
1860,Journal 64,(2018),Not Rated,119 min,"Crime, Mystery, Thriller",7.4,A series of mysterious disappearances in 2006 are eerily connected to the same institution.,"16,759"
1861,The Trial,(2019– ),TV-MA,52 min,"Crime, Thriller",7.2,"A group of characters is implicated in the murder of Angelica. They all walk on a razor's edge searching for the truth, waiting for a verdict, which will establish, in a way or another, a new course for their lives.","3,271"
1862,Chambers,(2019),TV-MA,60 min,"Drama, Fantasy, Horror",6.4,A woman survives a heart transplant and begins to develop different personality traits.,"8,615"
1863,Ala Vaikunthapurramuloo,(2020),Not Rated,163 min,"Action, Comedy, Drama",7.3,"Fate plays a vital role in connecting the life of Bantu, a son who seeks validation from his cold-hearted father with the life of Raj, whose millionaire father wishes that he was more assertive.","18,386"
1864,Sierra Burgess Is a Loser,(2018),PG-13,105 min,"Comedy, Drama, Romance",5.8,A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,"39,160"
1865,The Smurfs,(1981–1989),TV-Y,30 min,"Animation, Adventure, Comedy",7.2,"The Smurfs are tiny blue creatures that live in mushroom houses in a peaceful forest. They repeatedly try to outwit Gargamel, an evil sorcerer, his apprentice, Scruple, and his mangy cat, Azrael.","18,686"
1866,Trouble,(I) (2019),,87 min,"Animation, Adventure, Comedy",5.8,"A pampered dog named Trouble must learn to live in the real world, while trying to escape from his former owner's greedy children.","3,401"
1867,Nightflyers,(2018),TV-14,60 min,"Drama, Horror, Mystery",5.8,"A crew of scientists embarks on a mission aboard a ship called the Nightflyer to investigate a mysterious alien signal, but they soon begin to question if something is already on the ship with them.","13,355"
1868,Shimmer Lake,(2017),Not Rated,86 min,"Action, Crime, Drama",6.3,An inventive crime thriller told backwards reversing day by day through a week following a local sheriff's quest to unlock the mystery of three small-town criminals and a bank heist gone wrong.,"14,949"
1869,Madame Claude,(2021),TV-MA,112 min,"Biography, Crime, Drama",5.4,"Paris, in the late 1960s. Madame Claude is at the head of a flourishing business dedicated to prostitution that gives her power over both the French political and criminal worlds. But the end of her empire is closer than she thinks.","3,470"
1870,Pokémon Master Journeys,(2021– ),TV-Y7,50 min,"Animation, Action, Adventure",7.6,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure.",194
1871,Tattoo Redo,(2021– ),TV-MA,,Reality-TV,5.9,"Bad tattoos walk in. Great tattoos walk out. Top artists transform tattoo disasters into stunning cover-ups, with designs chosen by clients' loved ones.",761
1872,Time to Hunt,(2020),TV-MA,134 min,"Action, Crime, Drama",6.3,"In the near future, a financial crisis will hit Korea and slums arise. From those areas, a group of young people commit crime to survive.","5,795"
1873,Concrete Cowboy,(2020),R,111 min,"Drama, Western",6.3,"Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys.","8,843"
1874,Our Souls at Night,(2017),TV-14,103 min,"Drama, Romance",6.9,"Fonda and Redford star as Addie Moore and Louis Waters, a widow and widower who've lived next to each other for years. The pair have almost no relationship, but that all changes when Addie tries to make a connection with her neighbor.","13,656"
1875,Trees of Peace,(2021),TV-MA,97 min,Drama,6.4,"In April of 1994, four women from different backgrounds and beliefs are trapped and hiding during the Genocide Against the Tutsi in Rwanda. Their fight for survival against all odds unites the women in an unbreakable sisterhood.","1,284"
1876,Friendzone,(2021),TV-MA,88 min,"Comedy, Romance",5.9,Hopeful romantic Thibault believes his luck could change when sparks fly between him and Rose. But can he go from bestie to boyfriend.,"3,523"
1877,MI-5,(2015),R,104 min,"Action, Drama, Thriller",6.2,"When a terrorist escapes custody during a routine handover, Will Holloway must team with disgraced MI5 Intelligence Chief Harry Pearce to track him down before an imminent terrorist attack on London.","22,820"
1878,Skiptrace,(2016),PG-13,107 min,"Action, Adventure, Comedy",5.6,A detective from Hong Kong teams up with an American gambler to battle against a notorious Chinese criminal.,"21,027"
1879,Grand Designs,(1999– ),TV-G,50 min,"Documentary, Reality-TV",8.5,"Kevin McCloud follows people as they build their dream house, often focusing on modern design, energy efficiency, maximizing space and views.","3,181"
1880,Paranoid,(2016),,45 min,"Crime, Drama, Mystery",6.6,"The murder of a female GP in a rural playground in front of numerous witnesses draws a group of detectives into an ever-darkening mystery that takes them across Europe, aided by mysterious notes sent by the ""Ghost Detective"".","8,807"
1881,Do You Like Brahms?,(2020),,65 min,"Drama, Music, Romance",7.6,A drama about the dreams and love of classical music students who find their own happiness after wandering between talent and reality.,905
1882,Tall Girl 2,(2022),TV-PG,97 min,"Comedy, Drama, Family",4.7,"After Jodi Kreyman gains popularity, her miscommunications start causing rifts with those around her and now she really needs to 'stand tall'.","4,644"
1883,The Gentlemen,,TV-MA,,"Action, Comedy, Crime",,Television series based on Guy Ritchie's 2019 action-comedy 'The Gentlemen'.,
1884,Atlas,(III),,,"Action, Adventure, Sci-Fi",,"A bleak-sounding future, where an AI soldier has determined that the only way to end war is to end humanity.",
1885,Self Made: Inspired by the Life of Madam C.J. Walker,(2020),TV-MA,191 min,"Biography, Drama, History",7.3,The inspiring story of trailblazing African American entrepreneur Madam C.J. Walker who built a haircare empire that made her America's first female self-made millionaire.,"12,015"
1886,Free Rein,(2017–2019),TV-G,26 min,"Action, Adventure, Comedy",7.1,"After befriending a mysterious horse during a summer in the English countryside, 15-year-old Zoe finds the strength to deal with issues she faces.","2,145"
1887,Then Came You,(2018),Not Rated,97 min,"Adventure, Comedy, Drama",6.9,A hypochondriac working as an airport baggage handler is forced to confront his fears when a British teenager with a terminal illness enlists him to help her carry out her eccentric bucket list.,"12,727"
1888,The Great Train Robbery,(2013),Not Rated,90 min,"Biography, Crime, Drama",7.3,"A two-part drama which portrays The Great Train Robbery of 8 August 1963, firstly from the point of view of the robbers and then from the point of view of the police who set out to identify and catch the robbers.","4,253"
